date,cpi,comment
2022-12-13,7.10%,https://www.investing.com/economic-calendar/cpi-733
2022-11-10,7.70%,
2022-10-13,8.20%,
2022-09-01,8.20%,
2022-08-01,8.26%,
2022-07-13,9.10%,
2022-07-13,9.10%,
2022-06-10,8.60%,
2022-05-01,8.58%,
2022-04-01,8.26%,
2022-03-01,8.54%,
2022-02-01,7.87%,
2022-01-01,7.48%,
2021-12-01,7.04%,
2021-11-01,6.81%,
2021-10-01,6.22%,
2021-09-01,5.39%,
2021-08-01,5.25%,
2021-07-01,5.37%,
2021-06-01,5.39%,
2021-05-01,4.99%,
2021-04-01,4.16%,
2021-03-01,2.62%,
2021-02-01,1.68%,
2021-01-01,1.40%,
2020-12-01,1.36%,
2020-11-01,1.18%,
2020-10-01,1.18%,
2020-09-01,1.37%,
2020-08-01,1.31%,
2020-07-01,0.99%,
2020-06-01,0.65%,
2020-05-01,0.12%,
2020-04-01,0.33%,
2020-03-01,1.54%,
2020-02-01,2.34%,
2020-01-01,2.49%,
2019-12-01,2.29%,
2019-11-01,2.05%,
2019-10-01,1.76%,
2019-09-01,1.71%,
2019-08-01,1.75%,
2019-07-01,1.81%,
2019-06-01,1.65%,
2019-05-01,1.79%,
2019-04-01,2.00%,
2019-03-01,1.86%,
2019-02-01,1.52%,
2019-01-01,1.55%,
2018-12-01,1.91%,
2018-11-01,2.18%,
2018-10-01,2.52%,
2018-09-01,2.28%,
2018-08-01,2.70%,
2018-07-01,2.95%,
2018-06-01,2.87%,
2018-05-01,2.80%,
2018-04-01,2.46%,
2018-03-01,2.36%,
2018-02-01,2.21%,
2018-01-01,2.07%,
